,left-weight,left-distance,right-weight,right-distance,class
546,4,3,4,3,2
16,3,3,2,4,0
196,2,1,5,1,1
344,5,5,3,4,0
38,5,4,5,3,0
220,3,4,5,5,1
577,4,2,4,2,2
13,5,3,1,3,0
422,1,5,2,5,1
521,3,3,4,5,1
213,5,5,2,1,0
223,5,3,3,1,0
590,5,3,4,1,0
552,1,3,2,1,0
296,3,2,1,2,0
527,2,4,4,2,2
308,4,3,3,3,0
234,4,2,2,1,0
94,3,5,5,3,2
618,2,5,5,3,1
454,2,1,2,3,1
2,2,3,5,2,1
379,3,3,5,2,1
112,3,2,3,5,1
266,2,1,4,2,1
121,3,2,2,2,0
225,4,1,3,4,1
361,1,5,4,4,1
285,2,5,1,5,0
584,5,5,2,2,0
493,2,5,4,2,0
239,2,2,1,1,0
314,4,3,5,2,0
335,4,5,1,5,0
312,2,5,5,1,0
87,1,5,5,1,2
537,4,4,1,4,0
403,1,1,5,4,1
597,1,3,2,2,1
195,5,2,4,5,1
475,5,4,3,2,0
394,4,5,3,2,0
558,3,4,1,4,0
29,5,4,2,5,0
562,5,3,1,4,0
429,1,1,5,3,1
481,4,5,2,4,0
30,4,5,4,4,0
201,5,2,5,5,1
254,5,4,2,3,0
46,4,5,2,2,0
209,3,1,2,1,0
206,1,5,4,5,1
413,1,3,4,4,1
106,1,3,3,5,1
157,5,2,4,3,1
364,2,3,1,1,0
515,3,1,1,3,2
556,2,3,2,3,2
469,2,2,4,5,1
519,5,4,2,2,0
343,2,3,5,5,1
421,3,3,4,3,1
93,1,1,3,2,1
370,4,3,2,3,0
533,1,1,1,5,1
591,5,1,4,3,1
162,5,1,2,4,1
176,1,4,5,1,1
620,4,2,1,3,0
3,3,4,4,5,1
471,4,1,5,3,1
126,1,5,2,3,1
100,3,5,1,4,0
91,4,2,5,4,1
197,3,1,2,2,1
331,2,3,4,1,0
171,4,4,5,1,0
133,4,2,3,1,0
146,4,4,3,4,0
601,4,4,2,5,0
435,1,2,3,5,1
174,3,5,1,1,0
205,1,4,3,4,1
578,1,5,3,1,0
377,3,2,4,2,1
318,4,3,4,1,0
120,1,3,1,2,0
170,2,2,3,1,0
378,3,1,4,4,1
484,4,3,2,1,0
423,1,2,2,3,1
384,1,3,4,1,1
11,2,4,5,4,1
372,2,2,4,1,2
287,5,1,2,1,0
506,4,3,2,2,0
41,4,1,4,5,1
596,5,3,3,4,0
130,2,1,3,1,1
353,2,4,1,4,0
487,2,1,2,2,1
80,5,5,1,2,0
593,3,5,3,1,0
497,1,2,4,4,1
211,1,3,4,5,1
64,3,5,5,1,0
612,4,2,3,5,1
172,1,4,4,3,1
155,4,3,2,5,0
238,3,1,3,4,1
224,2,1,3,2,1
289,5,5,1,3,0
624,4,1,5,4,1
89,4,1,1,4,2
573,2,1,4,5,1
286,5,4,1,1,0
439,2,5,1,2,0
614,4,1,2,1,0
609,3,2,4,5,1
51,2,4,2,5,1
281,5,3,3,5,2
67,2,2,3,3,1
452,2,2,1,5,1
250,2,1,1,4,1
236,2,2,5,4,1
107,5,5,3,3,0
387,5,2,5,1,0
21,1,1,1,3,1
336,5,3,4,4,1
135,4,3,1,3,0
406,5,1,4,4,1
476,2,2,2,4,1
410,1,2,2,5,1
84,5,4,1,4,0
427,4,4,3,1,0
538,1,1,2,3,1
305,5,5,5,2,0
363,5,2,1,2,0
418,3,4,4,1,0
113,5,5,5,5,2
279,2,3,3,5,1
85,4,1,1,3,0
163,4,3,2,4,0
499,4,3,1,1,0
35,1,4,3,3,1
463,3,1,2,5,1
530,1,2,1,4,1
315,1,2,2,4,1
139,4,2,4,4,1
48,2,4,1,2,0
426,3,3,2,2,0
449,2,2,2,2,2
212,4,1,1,2,0
509,2,2,4,3,1
434,5,1,5,5,1
559,2,4,5,2,1
542,5,1,3,5,1
277,1,4,1,2,0
310,2,3,3,2,2
81,4,3,3,1,0
610,3,3,5,5,1
508,1,4,1,3,0
433,5,2,2,3,0
274,4,5,2,1,0
60,5,1,4,5,1
53,4,2,3,4,1
511,2,4,1,5,0
218,1,5,1,5,2
551,2,5,3,3,0
160,1,4,2,2,2
470,1,2,1,1,0
92,4,1,2,5,1
6,5,4,1,3,0
350,5,5,1,5,0
297,2,3,1,4,0
95,3,2,3,3,1
456,4,5,5,4,2
369,1,4,5,2,1
99,2,1,2,1,2
79,2,1,5,2,1
386,5,1,3,4,1
572,5,2,5,3,1
482,1,3,5,1,1
271,1,5,1,2,0
124,3,1,1,1,0
502,2,4,5,3,1
571,5,4,3,1,0
623,4,4,4,1,0
599,4,5,4,3,0
0,5,2,5,2,2
357,3,4,1,2,0
516,1,2,5,3,1
73,1,5,1,1,0
622,1,1,3,5,1
544,3,5,5,2,0
145,1,2,3,1,1
256,1,4,5,3,1
503,1,3,2,5,1
316,3,5,2,1,0
354,5,4,2,4,0
549,3,2,1,4,0
293,1,4,2,3,1
368,2,1,2,5,1
31,2,5,3,5,1
88,2,2,5,1,1
119,5,5,2,5,0
466,4,2,4,5,1
235,2,2,4,2,1
255,4,4,5,4,1
391,1,2,1,2,2
69,5,5,5,1,0
376,3,2,5,5,1
605,4,4,4,4,2
495,3,2,2,1,0
615,5,3,5,1,0
232,3,5,4,1,0
251,2,4,2,4,2
104,4,5,5,3,0
488,4,4,3,3,0
349,4,5,5,2,0
399,3,5,4,2,0
507,2,3,4,4,1
560,4,4,2,3,0
136,5,2,3,4,1
388,5,4,3,4,0
142,1,4,3,1,0
66,5,4,4,2,0
569,1,4,4,1,2
594,2,2,3,2,1
151,4,3,1,2,0
307,4,3,3,2,0
365,2,5,4,3,1
231,3,3,2,3,0
405,2,3,2,4,1
166,1,3,1,4,1
173,1,1,2,2,1
240,1,2,5,5,1
263,3,4,2,4,0
150,1,2,5,4,1
49,3,1,1,5,1
461,2,3,2,1,0
288,4,1,2,2,2
72,2,1,1,2,2
292,2,4,4,1,0
152,4,3,5,5,1
323,4,4,2,4,0
249,2,2,1,4,2
10,2,4,3,4,1
153,2,4,3,3,1
128,1,1,5,2,1
208,2,5,3,1,0
375,5,4,1,5,0
339,1,5,2,1,0
582,4,5,1,3,0
473,2,4,1,3,0
97,1,2,4,2,1
373,4,1,3,5,1
267,1,4,1,1,0
566,2,3,2,5,1
298,5,2,5,4,1
214,4,5,5,1,0
616,1,3,1,1,0
333,3,3,3,4,1
342,2,5,5,2,2
539,1,2,3,3,1
141,3,2,1,5,0
75,2,3,5,3,1
407,4,4,4,3,0
345,1,5,5,3,1
311,1,5,4,3,1
101,4,5,3,3,0
550,1,5,4,1,0
24,3,1,4,2,1
480,4,5,4,2,0
332,4,1,2,4,1
253,3,4,3,5,1
76,3,4,2,2,0
9,5,1,5,2,1
189,5,4,5,5,1
116,3,2,3,2,2
564,3,4,2,5,0
341,2,1,4,4,1
595,5,4,4,3,0
320,1,3,2,4,1
229,5,4,4,5,2
575,3,3,1,5,0
505,3,1,3,1,2
381,3,3,1,2,0
602,4,3,4,5,1
448,2,4,1,1,0
198,5,1,1,4,0
215,5,5,4,1,0
82,2,2,5,5,1
264,3,4,4,3,2
149,2,1,3,5,1
276,3,1,1,4,1
178,3,5,4,5,1
548,4,2,4,3,1
359,1,5,3,2,1
367,2,3,4,2,1
441,1,3,1,3,2
230,2,2,1,2,0
187,5,3,5,2,0
472,4,1,5,2,1
621,4,2,1,5,0
262,5,5,4,2,0
436,4,2,1,1,0
437,5,5,3,2,0
207,4,4,4,2,0
186,5,1,1,3,0
117,4,3,3,5,1
245,2,2,1,3,0
409,3,3,1,4,0
446,3,4,5,4,1
33,3,4,3,1,0
355,1,3,1,5,1
543,3,1,4,5,1
440,3,5,2,2,0
243,1,3,5,3,1
58,5,3,2,2,0
257,3,5,5,4,1
474,2,2,4,4,1
458,5,5,2,3,0
177,4,4,2,2,0
270,3,3,3,2,0
510,5,2,4,1,0
36,5,2,3,3,0
295,2,1,5,5,1
261,2,4,3,5,1
102,1,4,2,1,0
190,1,1,1,1,2
383,3,5,5,5,1
313,4,2,2,5,1
447,1,4,5,4,1
479,5,3,1,5,0
568,3,4,3,4,2
147,5,2,2,1,0
123,4,4,1,3,0
105,2,4,3,2,0
12,5,4,4,1,0
143,2,2,3,4,1
246,3,3,5,4,1
199,3,3,4,2,0
613,3,4,1,3,0
122,1,3,4,3,1
330,1,5,1,3,0
352,3,1,4,1,1
194,5,5,5,3,0
496,4,2,1,2,0
604,4,1,2,3,1
358,3,2,2,5,1
265,5,2,3,5,1
203,3,5,4,4,1
583,5,3,2,3,0
54,1,5,2,2,0
390,5,2,3,2,0
326,5,1,3,1,0
284,3,3,5,1,0
111,2,4,5,5,1
574,1,2,4,3,1
118,5,5,3,5,0
504,1,1,1,2,1
526,1,5,3,5,1
175,3,2,5,3,1
242,3,2,3,4,1
210,4,1,4,2,1
191,3,5,2,3,0
134,1,4,2,5,1
96,5,1,2,2,0
432,3,1,5,3,1
567,1,1,4,4,1
165,1,3,3,1,2
389,4,3,1,4,0
219,4,5,3,4,0
579,4,4,1,2,0
299,3,5,2,5,0
291,2,3,5,4,1
268,4,2,2,3,0
321,3,1,2,3,1
522,4,4,2,1,0
301,4,3,4,2,0
74,1,4,4,2,1
374,2,4,4,5,1
65,5,2,2,4,0
445,1,5,2,4,1
513,4,2,5,1,0
545,1,4,1,4,2
588,1,1,4,3,1
428,1,3,3,4,1
536,1,3,3,2,1
26,2,5,1,1,0
490,1,4,2,4,1
531,5,3,3,2,0
486,2,1,1,3,1
164,3,1,5,5,1
443,2,3,3,4,1
57,5,1,4,1,0
408,4,1,4,3,1
366,2,4,3,1,0
346,3,4,2,1,0
15,5,2,1,3,0
44,5,3,3,3,0
23,1,5,3,3,1
395,2,2,3,5,1
183,4,5,2,3,0
518,3,3,5,3,1
467,5,4,2,1,0
392,4,5,4,1,0
303,2,3,3,3,1
34,3,3,3,3,2
450,3,2,2,3,2
148,3,3,4,1,0
68,2,3,1,2,0
351,3,5,2,4,0
258,3,1,4,3,1
233,2,5,2,2,0
62,4,2,5,2,1
340,1,1,3,3,1
337,2,1,5,3,1
589,3,5,3,3,0
317,5,2,4,4,1
109,2,2,2,1,0
32,3,3,3,5,1
603,4,4,3,5,0
273,1,1,5,5,1
306,3,1,3,3,1
460,2,3,3,1,0
63,1,4,4,4,1
22,4,1,1,5,1
535,2,3,2,2,0
309,2,4,2,3,0
272,5,3,1,1,0
532,5,5,4,3,0
524,5,2,2,5,2
39,2,3,5,1,0
400,3,4,5,2,0
611,2,1,3,3,1
275,3,4,2,3,0
226,2,1,4,3,1
356,4,1,4,1,2
52,2,4,2,2,0
19,5,5,4,4,0
188,5,5,5,4,0
412,2,1,5,4,1
108,2,2,5,3,1
348,2,3,4,5,1
98,5,4,5,2,0
200,3,5,1,5,0
156,5,3,2,5,0
282,3,4,4,2,0
415,3,1,2,4,1
154,5,1,2,5,1
494,1,4,3,2,1
132,4,5,1,2,0
192,5,1,4,2,1
498,3,4,1,5,0
347,3,5,1,3,0
607,4,5,3,1,0
541,2,5,4,5,1
185,1,5,5,5,1
180,1,4,1,5,1
523,4,2,3,2,0
259,5,3,4,2,0
501,2,5,1,3,0
179,1,4,5,5,1
419,3,4,3,3,0
580,5,1,5,1,2
555,2,1,1,1,0
169,5,3,1,2,0
25,1,5,5,2,1
397,1,3,2,3,1
396,4,3,4,4,1
202,3,2,4,4,1
168,2,4,4,4,1
586,1,3,5,2,1
158,3,2,1,3,0
40,4,5,1,1,0
619,3,3,1,1,0
554,2,2,2,5,1
491,1,1,2,1,1
483,4,3,3,4,2
70,1,1,1,4,1
438,3,2,1,1,0
430,5,2,3,1,0
325,3,1,5,1,1
127,4,1,3,3,1
131,4,2,2,2,0
462,5,1,5,4,1
424,5,5,1,4,0
83,2,4,2,1,0
5,2,4,5,1,0
138,3,5,3,4,0
241,4,4,3,2,0
86,3,3,4,4,1
280,1,5,4,2,1
401,1,1,4,1,1
43,1,2,1,5,1
329,3,1,3,2,1
425,3,1,5,4,1
529,5,5,1,1,0
227,1,3,4,2,1
222,5,1,2,3,1
59,4,4,4,5,1
1,1,1,4,2,1
260,3,2,5,4,1
431,3,3,2,5,1
193,1,3,5,4,1
77,2,2,5,2,1
167,5,1,3,2,1
540,5,1,1,1,0
204,1,2,2,2,1
512,5,1,3,3,1
420,5,4,3,5,0
103,5,4,4,4,0
252,4,1,1,1,0
47,1,2,2,1,2
45,4,3,1,5,0
322,4,4,5,5,1
581,4,5,3,5,0
525,1,1,5,1,1
319,2,5,4,4,1
455,2,3,4,3,1
411,4,4,1,1,0
534,5,4,5,4,2
20,4,4,1,5,0
114,1,4,3,5,1
216,2,5,2,3,0
129,3,4,3,2,0
600,3,2,4,1,0
28,3,2,3,1,0
561,2,5,1,4,0
617,5,4,3,3,0
4,1,2,3,4,1
598,4,1,3,1,0
181,4,1,3,2,1
