,att1,att2,att3,att4,att5,att6,class
1102,3,1,3,965,1128,372,9
1640,1,3,1,1046,1880,1464,1
1744,1,4,2,1443,15,1750,2
1556,1,3,1,759,1311,123,8
31,1,3,1,963,189,987,4
456,1,3,1,1541,638,689,3
985,3,1,3,571,432,626,9
208,1,4,2,1116,895,39,8
2,3,1,3,1686,992,430,9
1827,2,2,2,910,1848,941,5
809,3,1,3,1342,1344,558,9
1317,1,3,1,212,821,1414,1
834,1,3,1,1476,594,1624,6
760,2,2,2,672,1030,1518,7
1360,1,3,1,1419,1426,1597,8
586,2,2,2,1013,1819,1217,7
342,2,2,2,486,727,743,7
715,1,4,2,389,224,909,3
294,1,4,2,185,1476,1006,4
1754,1,3,1,777,584,102,8
54,1,4,2,60,555,1888,8
1592,1,4,2,1649,622,1807,3
177,1,4,2,74,765,155,8
695,3,1,3,460,1078,541,9
1707,1,4,2,839,1578,1297,3
390,2,2,2,1288,1211,1147,5
169,1,4,2,292,6,1866,2
158,1,3,1,842,1418,1145,6
1345,2,2,2,216,1232,1184,5
1726,3,1,3,907,399,463,9
1521,1,4,2,512,1157,1059,2
338,1,3,1,318,994,90,6
1013,1,4,2,414,872,1228,3
328,1,4,2,1052,726,1539,4
1214,1,4,2,1448,1674,1790,2
992,1,3,1,1226,720,1345,6
1033,1,3,1,719,1583,7,8
632,1,4,2,1401,335,1473,4
1939,1,4,2,849,1310,1740,8
331,2,2,2,1438,1098,1412,6
236,1,4,2,252,363,1660,8
1535,2,2,2,884,1114,1001,5
1631,1,3,1,390,74,821,3
1044,2,1,1,1566,1122,252,0
393,1,3,1,205,77,1353,1
370,3,2,4,536,1003,352,9
998,2,1,1,167,835,469,0
243,1,3,1,988,101,624,4
1350,1,4,2,396,1258,884,8
1199,1,3,1,1090,1061,1469,1
1124,1,3,1,1551,1327,1883,1
681,1,4,2,1595,1107,1036,8
749,1,3,1,1049,1305,1379,1
1736,1,3,1,918,438,777,4
797,1,3,1,832,649,1050,6
102,1,3,1,810,379,831,6
1050,2,2,2,210,229,1282,7
382,1,3,1,1018,1634,1538,2
613,1,4,2,375,1307,618,8
1400,2,1,1,14,933,275,0
1657,2,2,2,1416,52,907,5
1566,1,4,2,1231,758,928,4
1099,2,2,2,653,929,1421,5
1498,1,3,1,213,147,1560,2
168,2,2,2,170,1706,838,5
183,1,3,1,1062,1096,1503,1
1533,1,3,1,1077,921,1771,2
1645,2,2,2,1701,253,979,5
472,1,4,2,353,1177,312,2
490,1,3,1,994,234,892,4
1916,2,2,2,1258,1007,1256,5
1065,1,3,1,1548,1144,387,6
1553,2,1,1,458,51,342,0
238,2,2,2,1368,268,889,7
1453,1,4,1,1259,1585,1125,4
33,1,3,1,196,1490,1199,4
344,1,3,1,828,1275,1247,6
150,2,2,2,1334,1035,829,7
1951,1,4,2,771,632,676,3
1918,2,1,1,1321,1709,4,0
922,2,2,2,979,273,1024,7
521,1,3,1,218,767,1437,1
1974,1,3,1,436,1711,1159,6
13,1,5,3,58,1181,89,8
1212,1,3,1,1433,620,1436,1
1771,1,3,1,1219,43,1231,6
1734,2,2,2,258,129,1408,7
1530,2,2,2,1289,1174,744,5
1714,1,3,1,788,20,713,6
921,2,2,2,1363,1167,1073,7
1066,2,1,1,962,693,364,0
522,1,3,1,1073,1809,1558,1
722,1,3,1,1378,977,1039,4
1755,1,4,2,1473,1730,1818,1
626,1,3,1,1412,211,903,4
696,2,1,1,970,350,259,0
930,1,3,1,764,769,793,3
960,1,3,1,1606,114,938,6
1731,2,2,2,1647,1668,969,5
1849,3,1,3,508,656,670,9
365,2,1,1,161,1403,311,0
1526,1,3,1,758,1565,654,3
513,2,2,2,1330,1766,656,5
945,1,4,2,1456,1110,1641,1
1846,1,4,2,1128,845,1764,8
350,1,3,1,57,538,1700,1
665,2,2,2,1372,503,1074,7
1078,1,4,2,1603,1776,1270,3
999,1,4,2,751,1780,169,8
295,2,2,2,1132,1582,1647,5
1555,2,1,1,128,507,251,0
214,1,3,1,1177,1239,171,6
548,1,5,3,1124,304,137,2
1083,2,2,2,572,283,1153,5
879,1,5,3,1574,741,732,8
765,1,4,2,110,1736,1801,3
592,2,2,2,1382,1746,1138,7
1750,2,1,1,1273,982,601,0
1870,1,3,1,614,887,954,4
1977,1,4,2,1663,1813,1325,4
220,1,3,1,95,592,1237,6
398,2,1,1,871,1588,449,0
132,2,2,2,1267,1159,1132,7
506,1,4,2,198,1027,1463,4
83,2,1,1,1332,1318,265,0
1463,1,4,2,703,1508,20,2
1062,2,2,2,199,1666,1154,7
786,1,3,1,1044,271,1372,1
1550,1,3,1,1083,1331,1608,1
1408,2,2,2,513,925,1018,5
396,1,3,1,1158,1443,118,8
1254,1,4,2,425,458,1486,3
1999,1,4,2,1194,1454,1186,3
951,1,3,1,385,609,60,6
307,1,3,1,35,1242,1341,6
1582,1,3,1,1209,1241,791,6
1903,1,3,1,286,31,1542,1
1237,3,1,3,963,829,585,9
1792,1,3,1,285,469,1614,3
570,2,2,2,804,396,1874,9
1934,1,3,1,1036,341,1352,1
840,1,4,2,440,576,1283,8
550,1,3,1,1094,119,1785,6
558,2,2,2,655,1862,1348,7
178,2,2,2,149,898,872,7
1366,1,3,1,738,837,1623,2
1703,3,1,3,1404,1047,579,9
1813,1,4,2,428,127,1317,3
791,1,3,1,894,687,959,4
1684,1,4,2,1026,1278,1315,4
1842,1,4,2,656,231,1747,2
276,3,1,3,579,879,620,9
495,1,3,1,598,1523,999,4
1405,1,4,2,729,1201,132,2
1668,1,3,1,1655,562,820,4
1497,1,4,2,1021,652,1573,2
662,2,1,1,901,459,339,0
153,1,3,1,336,578,1831,1
544,2,2,2,132,1622,858,7
1164,3,1,3,488,514,702,9
1936,1,3,1,312,950,1748,1
872,3,1,3,468,1052,459,9
115,1,5,3,63,67,474,8
527,1,3,1,822,791,897,3
660,1,3,1,381,1248,288,6
978,1,3,1,1200,330,674,6
671,3,1,3,467,278,471,9
831,1,4,2,1141,1142,103,8
1374,1,3,1,1018,1617,1432,1
878,1,4,2,1121,329,1854,2
1835,1,4,2,1206,1787,1356,3
605,3,1,3,146,1643,503,9
1496,1,4,2,1149,1656,528,2
1185,2,1,1,1681,207,218,0
1484,1,3,1,623,1693,1307,1
718,3,1,3,174,1595,578,9
571,1,5,3,1068,543,12,2
757,3,1,3,1383,1870,698,9
1953,1,5,5,432,373,1274,4
1505,2,1,1,487,1006,359,0
1872,1,3,1,1651,28,147,0
287,1,3,1,831,263,1161,6
1514,1,4,2,220,1244,1495,4
1504,2,2,2,552,1883,853,5
855,2,3,3,1040,1688,1293,7
1821,1,4,2,827,473,1286,3
887,1,3,1,1211,457,1255,3
859,1,3,1,800,1654,643,6
559,2,2,2,870,851,982,7
279,2,1,1,590,1726,384,0
1070,1,4,2,996,1866,1106,4
801,1,4,2,293,72,1868,2
728,1,3,1,1095,1337,1728,2
1769,1,5,3,1622,1451,1387,8
816,1,4,2,601,598,1306,4
576,1,3,1,634,1429,1425,1
1581,1,4,2,1025,822,1595,2
932,2,1,1,161,68,293,0
880,2,2,2,1270,1272,986,7
849,1,4,2,793,104,920,8
1540,1,3,1,1188,378,666,3
419,3,1,3,990,975,741,9
1525,1,3,1,697,1686,1800,2
796,1,3,1,732,1553,1787,1
157,2,1,1,549,1195,215,0
1875,1,3,1,1154,30,69,1
1979,2,1,1,1254,1882,217,0
409,3,1,3,1706,533,602,9
752,2,2,2,964,844,995,7
1143,1,5,3,300,495,1792,8
445,3,1,3,943,554,257,9
979,1,3,1,816,359,781,6
39,1,3,1,597,1816,607,4
575,1,5,3,779,1208,610,8
425,1,3,1,715,1176,1631,3
950,1,3,1,254,1083,1645,1
1265,1,4,2,837,486,1423,8
429,1,4,2,1046,525,1541,1
874,1,4,2,1560,1300,707,8
851,2,2,2,131,1696,788,7
594,1,3,1,418,717,901,6
1975,1,4,2,1625,1659,1653,3
1891,2,1,1,903,1215,213,0
1057,1,4,2,354,581,84,8
747,2,1,1,1260,191,314,0
814,1,3,1,1451,1033,1536,1
1601,2,2,2,866,37,948,7
588,1,4,2,111,1062,149,3
42,3,1,3,1337,1067,389,9
423,3,1,3,936,1461,493,9
973,2,2,2,1391,1253,1195,5
29,3,1,3,955,1833,559,9
1303,1,4,2,1432,604,1765,2
1280,1,4,2,376,336,631,8
476,1,4,2,331,735,636,8
154,3,1,3,168,1629,533,9
653,1,3,1,342,951,54,2
1035,2,2,2,1048,477,1339,5
1906,1,4,2,1016,1731,1392,4
1217,1,3,1,692,1264,1596,8
1619,1,4,2,114,1165,44,3
87,1,3,1,676,678,1442,1
1482,1,4,2,1178,307,572,8
301,1,4,2,1519,142,127,8
1612,1,3,1,1097,1084,1832,2
566,2,3,2,594,770,1021,5
499,1,3,1,794,103,649,6
165,1,4,2,1470,1592,1622,2
1206,1,4,2,34,668,1704,8
1215,2,1,1,12,405,266,0
1938,1,3,1,289,522,1643,1
446,1,3,1,819,200,413,6
510,1,3,1,643,1561,841,4
285,1,4,2,1377,1496,1221,4
198,1,3,1,1058,333,1617,2
1950,1,3,1,1545,923,678,4
727,1,3,1,1175,1489,574,3
1537,1,3,1,1697,1221,814,4
1998,1,5,3,1164,650,691,8
839,1,4,2,574,558,913,4
260,1,3,1,1018,434,950,4
773,1,5,3,259,968,1797,2
1018,1,4,2,589,345,721,4
803,1,4,2,502,907,535,4
422,1,4,2,792,565,686,8
833,1,4,2,1526,556,193,3
1376,2,2,2,188,1183,1089,7
1266,2,2,2,917,714,1015,7
1751,2,2,2,1429,453,1405,7
640,2,2,2,1013,1819,1217,5
1786,2,1,1,1280,1558,370,0
162,2,1,1,1327,1156,431,0
1424,3,1,3,533,854,567,9
333,2,2,2,1674,414,1019,5
1425,1,4,2,261,1295,1698,2
316,3,1,3,466,1372,546,9
1708,3,1,3,461,1193,380,9
1149,3,1,3,144,1409,476,9
1009,1,3,1,32,1707,1266,4
163,1,3,1,403,1111,1190,6
1983,1,4,2,1098,1172,18,2
1719,1,5,3,1409,1571,1873,2
152,1,4,2,1527,1364,1718,6
1097,2,2,2,1351,1199,934,7
1780,2,2,2,501,116,1078,7
256,1,3,1,714,516,1879,8
1416,1,3,1,1641,274,1766,1
431,1,3,1,1419,737,1433,1
1928,3,1,3,506,959,557,9
1272,3,1,3,1148,1798,719,9
1180,3,1,3,15,1653,423,9
1031,1,4,2,795,1723,694,3
1156,1,3,1,1047,497,1355,1
66,1,3,1,61,1794,1853,1
264,1,4,2,96,862,1291,6
1213,1,3,1,1498,1302,1659,1
1063,1,4,2,76,1554,1061,3
1811,2,1,1,519,1663,491,0
1423,3,1,3,1311,1202,659,9
133,1,3,1,1057,1568,1808,2
775,2,2,2,840,1343,850,7
678,2,2,2,635,980,980,7
1968,1,3,1,1146,1832,1865,1
1940,2,1,1,131,1323,195,0
877,2,2,2,1355,1439,863,7
491,1,3,1,952,1704,773,4
1315,3,1,3,28,1779,644,9
597,1,4,2,668,1406,1782,2
1664,1,3,1,610,970,1338,1
918,2,2,2,210,289,1285,5
351,1,5,3,1528,1365,135,8
325,2,1,1,555,1448,443,0
187,1,4,2,1063,1646,1776,2
1105,1,4,2,1427,1095,1499,1
454,2,1,1,949,1509,373,0
482,1,3,1,1055,792,1634,8
1635,2,1,1,930,801,298,0
223,1,4,2,1556,1227,875,3
1147,2,1,1,1629,1073,505,0
824,1,3,1,790,455,526,6
216,2,2,2,908,537,1136,5
4,2,1,1,132,32,306,0
86,3,1,3,1303,660,652,9
697,1,3,1,1029,279,1454,1
1279,1,4,2,1343,398,914,4
141,1,4,2,273,1799,1779,2
1320,1,3,1,295,1756,1686,1
774,1,3,1,1250,216,1791,3
368,1,3,1,1695,859,772,4
1583,2,1,1,540,1171,280,0
806,2,2,2,482,774,775,7
467,2,1,1,1688,820,267,0
1536,1,3,1,1707,408,1260,4
1293,1,4,2,858,84,1687,3
1665,1,4,2,415,671,1368,8
1322,3,1,3,970,1427,446,9
946,2,2,2,894,965,1118,7
620,1,4,2,1399,1845,1212,4
569,1,3,1,448,1648,774,4
721,2,2,2,137,175,767,7
1730,3,1,3,1306,1371,554,9
172,1,3,1,251,1029,1554,1
1882,2,1,1,543,729,212,0
384,1,4,2,1152,196,348,2
551,1,5,3,813,780,517,8
1178,3,1,3,943,1652,464,9
1201,1,5,2,270,931,1692,2
248,2,2,2,977,354,1151,5
924,2,2,2,552,1883,853,7
698,1,4,2,465,78,1284,4
1509,1,3,1,1074,617,1577,6
769,1,3,1,1581,811,680,6
1919,2,1,1,1262,777,300,0
1796,1,3,1,712,1614,1775,1
1956,3,1,3,1308,677,650,9
784,1,3,1,159,1740,779,4
1159,1,3,1,705,828,1752,1
240,3,1,3,161,832,456,9
1399,1,3,1,1561,1151,1813,1
867,1,4,2,727,182,1871,8
853,1,3,1,1628,277,1337,3
1064,1,4,2,1237,183,1028,4
205,2,2,2,550,102,924,7
1705,2,2,2,694,1440,1516,5
896,1,3,1,365,143,349,6
192,1,4,2,1145,876,1863,8
1584,1,4,2,1167,86,151,6
1006,2,2,2,572,171,1108,7
345,1,3,1,1546,326,186,3
380,2,2,2,1008,364,1166,7
1739,2,2,2,1387,707,1162,7
1034,2,2,2,216,1232,1184,7
1551,1,3,1,1234,1391,1094,6
1927,1,3,1,769,226,6,1
1390,1,4,2,1422,616,1546,2
1531,1,4,2,1096,966,1657,1
555,1,4,2,1482,1647,1849,2
444,1,3,1,1191,1823,882,3
417,1,4,2,421,413,1264,8
107,1,3,1,78,5,655,3
1905,3,1,3,1368,842,685,9
657,1,3,1,289,1438,1690,2
929,2,2,2,561,608,1027,5
1100,1,3,1,1675,785,978,4
931,1,4,2,1173,61,868,3
964,2,2,2,630,674,1269,7
1681,1,7,3,3,1836,1318,2
789,1,3,1,298,1535,1673,1
754,1,3,1,1147,597,229,6
1435,1,4,2,1621,117,1189,8
1274,2,1,1,1314,858,328,0
1795,2,2,2,199,1666,1154,5
1997,1,3,1,734,1480,1840,1
1440,1,3,1,1549,63,729,3
1901,2,2,2,1290,1555,1157,5
1500,1,3,1,797,322,834,6
717,2,2,2,1508,262,1652,7
1757,1,4,2,699,941,1763,2
74,1,3,1,1041,506,1440,1
1045,1,3,1,1202,136,1388,3
59,1,3,1,984,685,1257,1
1294,3,1,3,882,163,524,9
1699,1,4,2,749,570,74,2
