,buying,maint,doors,persons,lug_boot,safety,class
265,1,2,2,3,1,1,2
370,2,3,4,1,1,3,2
1006,1,2,3,3,1,2,2
876,1,4,4,3,2,3,3
319,3,1,1,3,1,1,2
885,3,2,2,1,1,3,2
1658,1,3,3,2,2,3,0
551,1,4,4,2,2,2,0
109,1,4,3,1,2,2,2
1409,3,4,3,2,2,3,2
435,1,4,3,3,1,3,2
1556,2,4,1,2,3,3,0
1101,1,1,1,2,3,1,2
852,2,2,4,2,2,1,2
1616,4,3,3,2,2,3,2
258,4,4,4,3,3,2,0
1058,1,1,3,2,1,1,2
784,2,2,2,3,3,2,0
192,3,1,4,2,2,3,0
1136,2,3,3,3,1,2,2
864,3,3,1,1,2,2,2
98,4,2,1,1,1,1,2
1672,4,2,1,3,1,1,2
242,4,2,4,1,3,3,2
1675,3,3,3,1,2,3,2
1115,1,2,3,1,3,3,2
794,3,2,4,2,3,2,2
1135,3,3,3,3,3,2,2
816,2,3,1,2,3,1,2
1625,2,2,4,2,3,2,0
181,4,2,1,1,2,2,2
280,3,4,1,3,2,2,2
591,3,1,1,1,3,3,2
751,4,4,3,3,1,3,2
877,3,2,2,3,3,1,2
611,3,2,1,3,1,2,2
439,4,3,4,3,1,2,2
813,3,3,1,1,3,1,2
540,3,4,1,3,3,1,2
1273,1,1,2,3,1,2,0
1566,1,1,4,2,2,3,3
1204,1,3,2,2,1,1,2
843,3,2,4,1,1,3,2
291,4,3,2,1,1,1,2
968,3,4,2,2,1,2,2
1528,3,4,1,1,3,3,2
415,1,2,4,1,3,2,2
1652,3,2,4,1,2,3,2
1370,4,1,2,2,2,3,0
570,4,3,4,1,3,1,2
1610,4,3,3,3,1,3,2
232,4,1,1,3,1,2,2
1077,2,3,2,1,2,2,2
1220,1,4,2,3,2,1,2
595,3,4,1,1,3,2,2
45,1,2,3,2,2,2,1
461,2,4,1,3,1,1,2
432,1,2,1,3,1,2,0
666,3,2,4,3,1,2,2
421,3,2,4,2,3,3,0
987,2,4,2,2,3,2,0
857,4,3,3,1,2,1,2
1427,1,3,2,1,1,1,2
989,3,1,1,2,1,2,2
1276,3,4,2,3,1,2,2
1390,4,3,4,2,2,1,2
120,3,3,4,2,1,3,2
1109,1,3,4,2,1,2,2
927,2,2,2,1,3,2,2
410,2,1,2,1,1,2,2
1662,4,4,2,2,1,3,0
5,2,3,3,3,3,1,2
863,3,4,4,3,1,2,2
809,1,1,4,1,1,3,2
1092,4,2,3,1,2,1,2
1057,1,4,2,2,1,2,0
640,4,1,1,3,3,2,0
334,1,4,4,1,2,1,2
43,3,2,1,3,3,1,2
76,4,4,2,3,1,2,2
785,1,3,3,1,2,3,2
1360,4,4,1,3,3,1,2
1348,4,4,3,2,3,3,0
512,2,1,2,2,1,3,1
444,4,2,1,1,2,3,2
928,3,1,1,2,2,2,0
582,2,3,2,1,3,2,2
599,3,3,3,1,2,2,2
1605,3,4,3,1,2,1,2
929,4,3,2,3,2,2,2
967,3,2,4,3,2,1,2
1027,1,3,2,3,1,3,0
1110,3,2,3,2,2,1,2
1096,2,1,4,1,1,3,2
1445,1,3,3,3,1,3,2
359,4,4,1,1,1,1,2
