,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
18783,6,6,8,5,5,8,7,7,7,7,8,8,10,8,4,7,2
17368,4,6,5,8,8,8,6,5,3,8,8,10,6,11,5,9,11
19062,5,9,5,7,5,6,8,10,8,6,5,7,3,9,4,9,5
6764,3,5,5,7,3,8,4,4,4,8,2,9,4,7,4,9,0
12630,3,4,5,2,3,8,8,3,8,12,8,10,2,10,5,9,13
16916,8,13,8,7,4,6,9,4,8,10,10,11,7,9,4,8,7
10311,4,6,7,5,4,8,11,5,5,13,6,4,2,11,4,9,14
1954,5,6,7,6,6,10,6,3,5,9,5,9,5,7,7,12,7
9869,6,10,7,7,4,6,9,9,10,10,9,13,3,11,5,10,20
19029,2,1,3,2,1,8,8,4,12,9,7,9,1,9,7,9,19
13574,3,4,4,2,2,6,12,2,8,12,10,6,1,10,3,6,22
9870,7,12,10,9,9,8,10,6,2,8,10,9,10,11,2,8,15
8415,7,12,7,7,4,11,5,4,7,10,4,8,5,8,5,12,5
16783,5,9,6,7,4,7,9,9,9,10,9,14,3,11,5,10,20
10869,4,5,6,3,3,8,8,3,9,12,8,10,3,9,5,9,13
12199,5,10,6,8,5,8,8,10,6,8,6,9,4,9,4,9,17
8764,3,9,5,6,2,7,12,3,4,10,13,9,2,11,1,9,11
19689,6,10,6,5,4,8,8,5,7,11,7,8,6,10,7,6,5
18805,11,11,11,9,8,3,12,3,4,11,11,9,8,12,3,8,15
18194,4,8,5,6,5,7,7,9,7,7,8,8,3,10,8,10,16
11196,4,8,6,6,5,9,10,9,6,5,8,12,4,8,4,8,24
11321,8,12,8,9,5,4,11,3,8,11,13,7,2,12,3,6,11
8073,4,3,5,4,3,7,9,8,8,10,9,14,2,10,5,11,20
6628,6,9,7,10,7,9,10,6,7,7,7,8,4,10,10,9,3
5480,4,10,5,8,4,9,8,6,9,6,7,8,1,9,9,9,18
12228,9,15,8,9,7,11,8,4,7,11,5,8,7,7,8,10,16
5468,4,6,6,5,6,8,9,6,3,8,8,9,7,12,8,9,8
10805,6,9,9,7,8,8,10,2,5,11,7,7,6,12,4,6,25
15180,5,9,7,7,6,10,8,4,6,11,4,8,4,7,5,11,10
17145,6,7,9,5,6,10,7,3,5,10,6,8,9,7,3,9,2
104,7,12,7,9,4,6,9,8,9,14,11,12,3,11,4,8,20
13712,4,11,5,8,4,8,14,1,6,8,11,9,1,9,1,9,22
12745,5,10,7,9,7,8,8,6,5,7,8,9,7,9,2,8,24
18866,10,11,8,6,4,6,4,6,6,4,8,8,6,9,3,8,24
4715,6,11,6,9,6,9,7,9,5,10,6,9,4,9,4,9,17
814,7,11,7,9,7,2,11,3,4,11,11,10,7,11,2,8,15
16785,9,13,8,7,6,8,7,4,4,9,6,8,5,10,10,8,8
9837,6,8,8,6,6,8,7,2,7,11,6,10,4,8,4,10,7
9074,5,8,5,6,3,5,10,3,7,11,12,7,2,12,3,6,11
17680,7,12,7,9,7,6,8,11,8,6,5,7,5,11,6,10,5
10888,5,9,5,7,4,9,8,13,2,7,10,9,9,7,1,9,2
13711,4,8,4,5,3,8,7,15,2,8,8,9,4,9,1,9,21
13716,5,9,7,7,5,5,12,3,7,12,11,7,2,11,4,7,25
7373,6,9,7,7,7,9,6,7,4,8,8,10,5,9,9,11,13
