Date,Mkt-RF,SMB,HML,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
196307,-2,-0.29,0.75,0.05,-2.19,-2.54,-3.48,-0.04,-0.15,-0.67,0.56,-1,3.49,-0.78,-1.59,-3.08,-2.43,-0.15,-3.67,-2.9,0.32,2.34,0.8,-0.23,-3.48,-0.55,-1.38,-2.54,0.04,-1.06,-4.21,-0.61,-2.38
196308,-0.39,-0.49,-0.94,4.82,2.14,7.15,6.08,4.66,6.22,4.83,9.56,4.61,4.3,6.04,8.31,4.62,5.17,7.2,3.27,4.02,7.48,3.85,4.2,4.29,2.68,5.23,7.7,7.37,4.22,6.65,1.07,4.28,6.25
196309,5.07,-1.02,1.82,-1.43,1.23,-4.23,-4.05,2.67,-1.37,-4.04,-4.06,-0.78,-1.14,-1.25,0.29,-2.55,-1.68,0.31,-4.6,-0.96,-4.48,-3.62,-2.5,2.36,-2.65,0.29,1.45,-3.85,-1.65,1.16,-2.51,-3.25,-2.93
196310,-1.57,-0.31,0.17,2.41,-1.28,5.78,10.34,-1.15,4.25,2.51,3.38,3.48,5.72,-0.52,1.58,4.19,-0.49,10.14,2.28,3.16,9.45,-0.52,-0.67,3.4,1.51,8.66,1.65,1.77,1.41,0.45,1.11,0.68,3.14
196311,2.53,-0.57,-0.04,-0.44,-0.72,-5.63,-1.96,-0.18,-0.18,-1.44,-1.65,2.22,1.99,-1.05,-1.83,-0.79,-1.72,-5.42,5.54,1.56,0.67,-1.19,-1.02,4.16,-3.78,-0.27,-0.93,3.78,-4.03,-1.08,-3.61,-2.29,1.67
196312,-0.85,-1.15,1.7,2.99,1.21,5.98,-2.13,-0.21,4.26,-0.69,1.54,4.51,3.3,0.81,1.51,1.86,-2.55,-1.2,-4.22,6.05,5.42,4.65,2.42,-0.14,0.93,3.26,0.31,4.17,-0.66,0.35,1.75,1.61,-2.82
196401,1.83,-2.01,-0.06,1.14,0.99,-1.69,-0.95,4.39,1.74,-0.83,3.68,3.26,2.26,2.02,4.43,3.72,-3.13,1.08,3.4,-0.03,4.44,4.85,1.4,3.35,2.05,3.05,1.84,3.86,-2.24,2.81,-0.47,-1.14,-2.33
196402,2.24,-0.18,1.53,1.43,-0.17,2.64,2.25,6.79,0.94,1.84,1.66,2.24,3.73,4.81,2.89,3.51,5.01,3.68,5.09,5.7,0.12,1.07,0.87,-0.28,2.73,1.97,-0.32,7,1.94,1.56,7.08,3.76,1.06
196403,1.54,0.08,2.86,1.96,6.93,10.37,2.72,-0.95,2.32,1.09,-1.94,2.64,0.45,4.84,6.97,6.57,3.6,0.62,1.74,5.28,-1.81,1.45,-0.75,-0.94,2.54,3.45,1.23,2.85,4.6,2.28,4.04,0.7,-0.29
196404,1.41,0.94,3.37,-1.07,-1.61,1.83,-4.16,2.12,-1.56,-0.62,-1.42,-1.18,-0.47,-0.5,-3.57,-0.14,-4.8,2.95,-4.44,13.4,-4.24,4.22,1.06,0.81,-0.12,-3.69,-1.16,-1.28,-0.02,3.05,1.86,-0.97,-3.7
196405,0.1,-1.32,-0.66,1.68,1.47,-0.19,-3.86,1.47,2.21,1.95,0.53,2.34,5.7,0.26,1.21,2.64,-1.11,1.79,4.46,1.01,0.64,2.18,0.84,-0.4,-3.31,2.84,-0.94,5.94,0.04,4.17,-0.24,0,0.02
