Date,Mkt-RF,SMB,HML,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
196307,-2,-0.29,0.75,-1.0767,-0.6453,-1.1208,-0.0397,0.5459,-1.8676
196308,-0.39,-0.49,-0.94,4.4504,4.4599,5.7598,5.3905,4.6233,7.7192
196309,5.07,-1.02,1.82,-3.066,-0.4674,-1.9766,-1.0644,-1.7019,-1.8044
196310,-1.57,-0.31,0.17,1.1626,1.7174,2.7084,3.8443,1.2355,2.2246
196311,2.53,-0.57,-0.04,-2.8652,-1.2518,-0.3618,-0.248,-1.453,0.6578
196312,-0.85,-1.15,1.7,0.3544,0.5545,0.2025,2.0377,3.0376,2.0627
196401,1.83,-2.01,-0.06,0.7691,2.6731,3.9768,2.6875,2.7291,2.5448
196402,2.24,-0.18,1.53,1.5849,2.1222,4.1642,1.4255,1.6582,4.5586
196403,1.54,0.08,2.86,0.6106,4.1038,5.1609,0.9237,3.0113,3.1123
196404,1.41,0.94,3.37,-1.696,-0.3047,-1.4665,0.4175,1.2053,-1.124
196405,0.1,-1.32,-0.66,0.921,1.1713,2.0914,1.5115,1.1688,4.3262
196406,1.42,-0.94,1.99,1.3077,1.2494,2.0197,1.6682,1.3153,2.3891
196407,1.27,-0.27,0.72,1.5604,3.036,2.6545,1.9135,2.2886,2.2783
196408,1.74,0.26,0.73,-1.5072,-0.3842,-1.2173,-1.2295,-0.8238,-1.3754
196409,-1.44,0.11,0.07,3.3448,2.9054,3.6037,2.3738,3.5006,5.5627
196410,2.69,-0.53,1.72,1.0815,1.2867,2.3201,0.2716,1.8227,1.3373
196411,0.59,0.42,1.15,-0.1132,-0.3563,0.0785,0.4995,0.9192,-3.5961
196412,0,0.6,-1.95,0.3389,-0.8002,-1.5351,1.1216,-0.294,-2.0393
196501,0.03,-0.26,-2.52,6.9819,5.9117,6.6407,3.961,2.7936,4.6314
196502,3.54,2.72,0.16,3.698,3.4139,4.3201,0.6003,0.0347,0.2909
196503,0.44,3.5,0.16,0.9099,0.5819,1.5227,-1.1259,-1.6676,0.3708
196504,-1.34,1.81,1.05,3.0286,4.4247,5.3205,3.8043,2.4929,2.8693
196505,3.11,1.2,0.68,-0.1316,-0.8669,-1.3233,-0.2717,0.1046,-2.3406
196506,-0.77,0.06,-1.63,-9.8895,-8.8536,-8.5932,-4.5574,-4.9639,-4.7378
196507,-5.51,-4.36,0.56,2.5221,3.0984,4.0875,1.3343,1.6322,4.1297
196508,1.43,0.87,2.18,6.5969,5.0218,5.0927,2.9229,2.841,2.504
196509,2.73,2.81,-0.96,3.8169,3.835,3.8155,3.7694,2.2624,3.5859
196510,2.86,0.62,-0.09,5.941,5.4618,6.3147,2.7744,2.0364,5.4895
196511,2.6,2.47,1.54,3.9838,4.8801,4.709,0.0041,-0.1666,-0.2972
196512,-0.03,4.68,0.21,3.9448,3.4843,4.6346,0.8421,0.9142,4.0673
196601,1.01,2.08,1.96,4.4139,5.6319,6.9139,-0.2491,1.3035,4.269
196602,0.72,3.88,3.51,3.9304,3.1378,3.4968,-1.6213,-0.7961,-0.6484
196603,-1.21,4.54,0.27,-0.3617,-2.9833,-2.044,-1.5599,-2.6395,-4.0093
196604,-2.51,0.94,-2.07,5.7684,4.812,5.5394,2.4054,1.8047,1.5507
196605,2.14,3.45,-0.54,-10.0901,-9.972,-10.3267,-4.1394,-5.1533,-7.0464
196606,-5.66,-4.68,-1.57,0.8245,0.0327,-0.018,-2.0016,-0.0517,-0.1531
196607,-1.44,1.02,0.5,-2.2769,-1.6858,-0.7671,-1.6458,-0.5398,-1.1721
196608,-1.63,-0.46,0.99,-11.0713,-9.806,-10.4455,-7.63,-6.6426,-7.3849
196609,-7.91,-3.22,0.44,-2.0082,-0.9552,-1.5018,-0.9876,0.1932,-0.5054
196610,-1.06,-1.06,0.49,-3.8969,-0.2031,-0.0697,3.3118,7.1703,5.1947
196611,3.86,-6.62,2.86,7.5145,4.5942,2.7363,3.7109,-0.9993,-0.5612
196612,1.4,4.23,-4.53,3.4322,2.6192,0.6885,-0.3486,1.4116,-0.1645
196701,0.13,1.95,-1.28,17.5311,16.366,17.7266,7.9167,6.3368,12.6306
196702,8.15,8.25,2.45,4.5547,3.0019,3.1351,1.9899,-0.3277,-0.8887
196703,0.78,3.31,-2.15,5.8708,6.4788,5.6456,4.3169,3.6047,5.461
196704,3.99,1.54,0.46,5.5954,3.8223,3.413,5.9967,1.7901,3.1401
196705,3.89,0.63,-2.52,-1.5246,-1.1647,-2.2875,-4.9518,-3.6673,-2.1994
196706,-4.33,1.95,0.99,9.5563,7.9934,8.3513,1.4807,1.9897,4.5906
196707,2.41,5.95,0.95,6.9552,7.6439,10.156,4.9096,3.4693,7.306
196708,4.58,3.02,2.8,-0.4316,0.8942,0.4312,-0.7451,-0.9227,1.1666
196709,-0.89,0.47,1.39,6.8718,5.3287,4.677,3.8156,2.677,1.0491
196710,3.11,3.11,-2.48,-0.774,-2.2586,-3.4941,-1.5084,-3.738,-5.5464
196711,-3.09,1.42,-3.38,1.3083,1.3591,-0.8293,1.088,0.2927,-0.178
196712,0.37,0.21,-1.7,10.964,7.5313,8.1637,2.1463,3.2459,4.044
196801,3.05,5.74,-0.45,-1.4959,0.8579,3.4097,-6.1524,-1.2539,-1.4731
196802,-4.06,3.88,4.79,-7.477,-5.0551,-5.0851,-3.3022,-2.1119,-3.332
196803,-3.75,-2.96,1.18,-0.7593,-1.0539,-0.552,1.8221,-0.7169,0.3842
196804,0.2,-1.28,-0.62,17.2872,14.3462,13.254,10.2331,5.369,11.9879
196805,9.05,5.77,-1.14,9.7386,8.3438,8.8497,2.458,0.1493,5.0613
196806,2.28,6.42,0.86,-0.2357,1.4903,1.4466,-0.0109,3.5887,-0.3316
196807,0.69,-0.18,0.68,-5.6338,-2.5044,0.2537,-4.5138,0.126,0.4089
196808,-2.72,-1.3,5.41,3.8866,3.4835,4.655,1.1297,1.4708,2.3831
196809,1.34,2.35,1.01,7.354,6.794,6.5425,3.3244,4.2897,4.7868
196810,4.03,2.76,0.33,-0.5367,2.0667,1.322,-0.6301,1.7051,3.2164
196811,0.42,-0.48,2.85,8.5463,8.2685,6.7536,5.5059,5.5179,5.5018
196812,5.43,2.35,-0.9,0.3114,-0.5043,-1.1012,-4.8693,-3.2611,-3.4469
196901,-3.94,3.43,0,-1.7715,-1.0703,-0.7027,-1.8122,0.134,0.4467
196902,-1.25,-0.77,1.66,-10.3101,-8.1991,-7.508,-3.9565,-5.3261,-5.0357
196903,-5.84,-3.9,0.86,3.1256,2.1639,3.1777,3.8935,2.5399,2.8058
196904,2.64,-0.26,-0.52,0.8069,1.981,1.1077,3.2355,0.4067,2.8683
196905,1.46,-0.87,-0.03,-0.3011,0.8552,0.0729,-0.1795,0.7259,0.873
196906,-0.1,-0.26,0.71,-12.1767,-11.2335,-10.9359,-3.4192,-7.8957,-6.8579
196907,-7.18,-5.39,-1.1,-11.2056,-9.3964,-7.4504,-4.7782,-7.5776,-6.0924
196908,-7,-3.2,1.22,7.469,5.1705,3.8384,6.6874,4.3467,2.6554
196909,4.68,0.93,-3.83,-0.4187,-2.1647,-2.7839,-0.5988,-3.544,-4.766
196910,-2.98,1.18,-3.27,10.8714,7.9188,7.2836,6.2235,4.6078,3.7343
196911,5.06,3.84,-3.04,-5.4777,-5.2438,-6.4138,-2.1679,-3.8128,-3.5242
