,0,1,2,3,4,5,6,7
0,0.531412293,104.8229789,0.561858041,98.01227083,0.540638377,102.7591056,0.540638377,102.7591056
1,0.484407606,121.8743458,0.520451341,113.3544245,0.494639101,119.4558525,0.510604901,115.6818996
2,0.544184515,113.7255252,0.5537802,111.3314109,0.536993806,115.5196002,0.544869692,113.5545742
3,0.531132467,115.0014358,0.565390474,106.5988066,0.558809158,108.2130384,0.572931989,104.7490625
4,0.530829648,117.2448066,0.559032188,110.1970439,0.557046461,110.6932734,0.557046461,110.6932734
5,0.509533956,119.669567,0.558062561,107.8289977,0.545156902,110.9778695,0.56453995,106.2485695
6,0.532731498,113.4649922,0.538339036,112.1033356,0.53985478,111.7352735,0.53985478,111.7352735
7,0.560788517,110.2491414,0.58205129,104.9118438,0.564060439,109.4278365,0.580754533,105.2373507
8,0.509574457,116.8647064,0.537582518,110.1905968,0.532812882,111.3271651,0.548173733,107.6667902
10,0.550372875,112.8952354,0.574098004,106.9381792,0.549534814,113.1056611,0.56650207,108.8454146
11,0.511274427,123.5496187,0.528463264,119.2042878,0.523641527,120.4232209,0.523641527,120.4232209
12,0.521812679,118.3876256,0.543598062,112.9940911,0.550937608,111.1769971,0.562002487,108.4376003
13,0.526762767,119.5840032,0.529557005,118.8779172,0.547103099,114.4441321,0.547103099,114.4441321
,,,,,,,,
,0.517224016,117.5140662,0.541911034,111.5421952,0.538393402,112.3970861,0.546222378,110.4782355
,0.019138095,4.851754213,0.018042656,5.440435997,0.017237096,4.434227535,0.018849077,4.825924879
